keywords,Duo,Large Group,Small Group,Solo,Unknown
orquestra,0,16,0,0,0
ovelhas,0,0,0,4,0
paisagem sonora,11,16,9,68,18
palhetas,0,0,0,1,0
palhões,0,0,0,1,0
palitos,0,0,0,2,0
pandeireta,1,0,0,0,0
pandereteiras,0,0,2,0,0
pandereteiros,0,2,0,0,0
par,1,0,0,0,0
parabéns,0,0,1,0,0
parada,0,1,0,0,0
pascoa,0,0,0,1,0
pasodoble,1,0,2,0,0
passar a ferro,0,0,0,1,0
pastor,0,0,0,3,0
pastora,0,0,0,1,0
pastores,0,0,0,1,0
pastorícia,0,0,0,1,0
património sonoro,2,2,0,10,0
pau,0,0,1,0,0
pauliteiras,0,1,2,0,0
pedra,0,0,0,1,0
pedro mestre,1,0,0,0,0
peixeira,0,0,0,1,0
peota,0,0,0,1,0
percussão,19,65,38,49,0
percussão tradicional,0,1,0,0,0
percussão vocal,0,0,2,1,0
performance,2,0,3,3,0
pesca,0,0,0,2,0
pescadores,0,1,0,2,0
petiscos,0,0,0,1,0
piano solo,0,0,0,3,0
pintura,0,0,0,6,0
plantas,0,0,0,2,0
poema,24,7,10,271,0
poemas,0,0,0,7,0
poesia,6,1,2,52,0
poesia popular,2,0,0,4,0
poeta,21,7,6,245,0
poeta popular,0,1,0,46,0
poeta popular declamar,0,0,0,4,0
poetas,0,0,0,1,0
polifonia,8,376,42,3,0
polifonico,0,1,0,0,0
polifónico,1,46,2,0,0
politico,0,2,0,0,0
ponto,0,35,1,1,0
pop,20,7,17,19,0
pop chula,0,0,0,3,0
pop folk,0,0,0,2,0
pop popular,2,0,1,0,0
pop rock,1,0,1,1,0
popula,0,1,0,0,0
popular,16,17,6,74,0
portugal,0,0,1,0,0
portugal na parede,0,0,0,1,0
portuguesa,2,0,1,0,0
post hardcore,0,0,1,0,0
power-pop,1,0,0,1,0
pragas,0,0,0,1,0
praia,0,2,0,0,0
praça de touros,0,0,0,1,0
pregar,1,0,0,2,0
pregões,0,0,0,2,0
processo criativa,0,0,0,1,0
procissão,0,1,1,0,0
prog punk,0,0,1,0,0
progressivo e hiperactivo,1,1,0,0,0
projeto comunitário,1,0,0,0,0
provérbios,0,0,0,1,0
punk,1,2,3,0,0
páscoa,1,8,2,3,0
pássaros,0,0,0,1,0
pão,0,0,0,3,0
pós-rock,2,0,0,0,0
quadra,0,0,0,6,0
quadras,2,0,0,8,0
quadrilha,0,1,2,0,0
quebranto,2,0,1,0,0
queijo,0,0,0,2,0
r&b,0,1,0,1,0
rancho,2,66,6,4,0
ranchos,0,0,0,1,0
rap,7,1,5,21,0
ratinhos,0,0,0,1,0
realejo,1,0,0,1,0
receita,0,0,0,1,0
receitas,0,0,0,1,0
recolhas,0,0,0,1,0
reggae,0,2,0,0,0
regilião,2,0,0,1,0
regionalismos,1,0,0,0,0
reis,0,0,0,1,0
religiosa,0,1,0,1,0
religioso,3,7,2,6,0
religião,39,19,28,113,1
rema,1,0,0,0,0
remisturar,1,2,0,7,0
repentista,0,0,0,3,0
repique,0,0,0,1,0
república,1,0,0,0,0
residência,0,0,0,2,0
responso,7,0,3,15,0
reza,3,9,1,25,0
rezas,4,0,0,6,0
rimas,0,0,0,1,0
rituais,0,0,0,1,0
ritual,2,1,0,6,0
rock,4,11,25,7,0
rock alternativo,1,0,0,0,0
rock progressivo,0,0,1,0,0
roda,0,5,1,3,0
romance,4,1,2,7,0
romaria,0,3,0,0,0
romeiros,0,1,0,0,0
ronca,0,1,1,6,0
roupa,0,0,0,1,0
rusga,0,8,1,1,0
récita,3,0,1,11,0
saias,0,0,0,1,0
samples,0,0,0,1,0
sanfona,0,0,0,1,0
santos,0,1,0,0,0
sapateado,0,0,1,0,0
sarronca,0,1,0,0,0
segada,1,1,0,2,0
serpins,0,0,0,2,0
serão,0,0,1,0,0
silvas,0,0,0,1,0
sinais,0,0,0,3,0
sinos,0,0,0,1,0
ska,0,2,0,0,0
ska-reggae,0,1,0,0,0
solo,0,0,0,1,0
sopros,0,0,2,0,0
soul,1,3,0,4,0
soul e funk,0,0,3,0,0
spoken word,2,0,0,0,0
stargazing pop,1,0,0,2,0
startcore sociopsicopata,0,2,1,0,0
superstição,4,1,2,20,0
superstições,1,0,0,0,0
sygyt,0,0,0,1,0
tabuinhas,0,1,0,0,0
tabúas,1,0,0,1,0
talego,1,0,0,0,0
taleigo,0,0,0,2,0
talhar,3,0,0,1,0
tamborileiro,6,5,3,26,0
tamborlleiro,1,0,0,2,0
tango,0,0,1,0,0
tapete,1,0,0,0,0
tapete arraiolos,0,0,1,0,0
tapetes,0,0,0,1,0
tarros,0,0,0,1,0
tear,2,1,0,3,0
teatro,3,2,2,2,0
tecedeira,0,0,0,3,0
tecelagem,0,0,0,2,0
tecer,0,0,0,1,0
telefone,0,0,0,1,0
testemunho,0,0,0,1,0
tijolo,1,0,0,0,0
tirana,0,0,0,1,0
tocador,16,0,3,52,0
tocadora,0,0,0,4,0
tocadores,3,1,0,0,0
tocata,0,13,1,0,0
toque,2,0,0,6,0
toque funilada,1,0,0,0,0
toranja,0,0,0,1,0
touca,0,0,0,1,0
tourada,0,0,0,1,0
trabalho,12,10,3,64,1
trabalho no campo,0,0,1,0,0
trabalho. artesão,0,0,0,1,0
traballho,0,0,0,1,0
tracanhola,1,0,0,0,0
tracanholas,0,1,0,0,0
tradcional,0,0,1,0,0
tradicional,70,181,96,198,1
